dataset_name,kl_weight,kl_mu_weight,T_train,C_train,R_train,S_train,N_train,MSE_train
mnist,2,0.01,0.5019191249319932,0.4955733757122813,0.015168908653286517,0.7152536258681561,0.4026,-99.0
mnist,1,0.01,0.49954775935629814,0.5003498382155027,-0.003995418856429155,0.7311756085309697,0.3996,-99.0
mnist,0.5,0.01,0.6543193597342725,0.8033997651977207,0.16596606462312435,0.7185678973024763,0.7052,-99.0
mnist,0.1,0.01,0.7333496549551871,0.9000563926352261,0.25432431679660195,0.862576884194938,0.9827333333333332,-99.0
mnist,0,0.01,0.819957157174355,0.9306427683761418,0.3061869611746194,0.9727496571236489,0.9998666666666666,-99.0
mnist,0.5,0.5,0.49884295736334217,0.499541379606563,0.009817354501007909,0.7523711576043772,0.394,-99.0
mnist,0.5,1,0.49896261489562754,0.5036880794891618,-0.005065494528728816,0.7702556880511874,0.4006,-99.0
mnist,0.1,0.5,0.7299902242075422,0.8948498009907511,0.22024610576672402,0.8687526317688248,0.979,-99.0
mnist,0.1,1,0.7269809466540675,0.8959912092317384,0.25076175050423277,0.8747495577852431,0.9693333333333332,-99.0
fashionmnist,2,0.01,0.50113223377144,0.49789946453626555,-0.005190736726759277,0.751800856739987,0.4000666666666667,-99.0
fashionmnist,1,0.01,0.5574945680497094,0.5691960885376399,0.10304486226278828,0.7521310942042959,0.4292666666666667,-99.0
fashionmnist,0.5,0.01,0.6829718409071386,0.6835617787704378,0.24302923762212666,0.7627598592902392,0.5577333333333333,-99.0
fashionmnist,0.1,0.01,0.806860103656616,0.9079517624488159,0.48138842724930003,0.8700934128633006,0.9039333333333333,-99.0
fashionmnist,0,0.01,0.8561532056238009,0.9158775878360965,0.4048958170087311,0.9666340624983679,0.9704,-99.0
fashionmnist,0.5,0.5,0.49796379463390894,0.49992988574864705,-0.0011309635688573079,0.7869534262318745,0.40066666666666667,-99.0
fashionmnist,0.5,1,0.5011304698909028,0.5026257308936803,0.002716191757230146,0.7808430555281753,0.4023333333333333,-99.0
fashionmnist,0.1,0.5,0.7941259399249778,0.8928806975345761,0.3856955816393587,0.8882554261697703,0.9088,-99.0
fashionmnist,0.1,1,0.7958650173238266,0.8985495404174899,0.4550784151751011,0.8821128657819657,0.9052666666666666,-99.0
har,2,0.01,0.5357814964350142,0.5217820347621911,0.06414689219499528,0.5031935917584172,0.4609333333333333,-99.0
har,1,0.01,0.6001885576840478,0.5705233341923661,0.18877249501654775,0.5099551110558983,0.4876666666666666,-99.0
har,0.5,0.01,0.7347668928786186,0.686531162843971,0.4102347265754901,0.5454494057301437,0.6275333333333333,-99.0
har,0.1,0.01,0.8175768232969676,0.7354078859204536,0.5015613044188652,0.7467625863744537,0.956,-99.0
har,0,0.01,0.8957034619018984,0.939428302264983,0.5611942915744386,0.9449268998516874,0.9951333333333332,-99.0
har,0.5,0.5,0.7163290553503422,0.6352475102368067,0.3448318702461283,0.543199525734435,0.6194666666666666,-99.0
har,0.5,1,0.5355451020817226,0.5120617816338803,-0.019191325267890524,0.6217408235403391,0.4567333333333333,-99.0
har,0.1,0.5,0.8100505913008619,0.8377412421613264,0.5715393191730588,0.7686044983360925,0.9406666666666667,-99.0
har,0.1,1,0.8207803052429631,0.7434652750336455,0.4997515610624582,0.7670109803955546,0.9894666666666668,-99.0
reuters,2,0.01,0.49900964407410586,0.5038005096927527,0.007709172712821768,0.36621199049768455,0.5418666666666666,-99.0
reuters,1,0.01,0.499646055608052,0.5166380436961315,-0.013046275000803437,0.4043827176523497,0.5407333333333333,-99.0
reuters,0.5,0.01,0.5259023909744295,0.5770838244137102,0.022194027142824414,0.39191394998882595,0.7531333333333333,-99.0
reuters,0.1,0.01,0.5540105832832232,0.7075550897689202,0.0870789754570246,0.6733571896707685,0.9750666666666666,-99.0
reuters,0,0.01,0.5774415943647453,0.7268628983764281,0.47850968782750464,0.9423131139894748,0.9836666666666666,-99.0
reuters,0.5,0.5,0.502482306789222,0.5409035821664805,-0.04283944953807026,0.44241655965208937,0.5496666666666666,-99.0
reuters,0.5,1,0.500473945537325,0.5034259656959597,-0.09112021285770193,0.4415937509650987,0.561,-99.0
reuters,0.1,0.5,0.5527091315179109,0.669316255762678,0.21626824179286838,0.6814624236275717,0.9726666666666668,-99.0
reuters,0.1,1,0.5529915872061393,0.6763159293302408,0.34798768615872927,0.6967595995994678,0.9702,-99.0
usps,2,0.01,0.5013917704664548,0.5027639206253758,0.00045197787525451844,0.5560379284633714,0.40246666666666664,-99.0
usps,1,0.01,0.5415486241159122,0.5558614552014431,0.05886502074673077,0.5410647257655121,0.4466666666666666,-99.0
usps,0.5,0.01,0.6606058528763279,0.6905300346476534,0.2235787099518976,0.5879772441335599,0.597,-99.0
usps,0.1,0.01,0.79267662571944,0.9137137932021877,0.26609925987864264,0.7856968531044314,0.9812666666666668,-99.0
usps,0,0.01,0.8645239068808521,0.9530823812387252,0.32870236864355096,0.936175726046711,0.9839333333333332,-99.0
usps,0.5,0.5,0.5002814706640323,0.5005562866878561,0.007434006261860446,0.6188603376381822,0.4066666666666667,-99.0
usps,0.5,1,0.5026580190705265,0.5010605618074049,0.010507102214528765,0.625074958099423,0.4062,-99.0
usps,0.1,0.5,0.7967896973341351,0.9169460985596884,0.2872381563949629,0.7837348261369719,0.9817333333333332,-99.0
usps,0.1,1,0.7909679580792028,0.9142186753715317,0.3299718620666444,0.7949486051593999,0.9678,-99.0
