dataset_name,test_name,exp,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:1.0,0.7681839647223893,0.9189888955702545,0.23890188723988687,0.9372573885569158,0.9935333333333334,0.9734,0.46060606060606063,0.05350518599152565
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:1.0,0.8776631675400166,0.9175264438908456,0.2698224084386607,0.9176397454198664,0.7569333333333333,0.595,0.46060606060606063,0.04850161448121071
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:1.0,0.8354642900094493,0.9313485210319846,0.40784937882259975,0.9018971672605519,0.7816,0.6936,0.5212121212121212,0.05030979588627815
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.5,0.7564017180654583,0.9160344930275177,0.2556890240228071,0.9323093863974168,0.9950666666666668,0.9706,0.6121212121212121,0.05328640714287758
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.5,0.8748831600950663,0.9235517509950463,0.4046903685473366,0.9216242603219442,0.7408,0.5684,0.3939393939393939,0.04845856502652168
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.5,0.8434321850929187,0.925541465509836,0.32756606322233517,0.9200206316177185,0.8037333333333334,0.6314,0.5757575757575757,0.04999520629644394
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.1,0.7641223262606305,0.9133516479111188,0.24020081635552307,0.9449452314684654,0.9975333333333332,0.9778,0.5696969696969697,0.05312443897128105
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.1,0.8789815479769779,0.9174928843455602,0.20753695635161337,0.9281642841437698,0.7528666666666666,0.636,0.4121212121212121,0.04780321195721626
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.1,0.8267772299057927,0.9267573289809008,0.28627179602641994,0.8931123660510235,0.7888666666666666,0.6862,0.40606060606060607,0.050516560673713684
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.0,0.7559373306989663,0.9126685107235919,0.28667184389003164,0.916267034868842,0.9465333333333332,0.916,0.6363636363636364,0.05455577000975609
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.0,0.856066615124703,0.9174422300489649,0.23707060884231607,0.9032061437518667,0.7470666666666667,0.5682,0.2,0.04969242215156555
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.0,0.8158200040088194,0.9293437219024712,0.3951269091709733,0.8879258570191668,0.7460666666666667,0.6244,0.42424242424242425,0.0512087419629097
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:1.0,0.7361115883515161,0.9025234544569481,0.16745234104308304,0.8746918264672938,0.9795333333333334,0.9644,0.1575757575757576,0.05422750860452652
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:1.0,0.8512611516765456,0.8995180253701,0.14513053767366746,0.8686466000636903,0.7253333333333333,0.5156,0.36363636363636365,0.05061277002096176
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:1.0,0.8230036193912321,0.9189956074793116,0.2768493138192034,0.8658808615868203,0.7897333333333333,0.7088,0.2848484848484849,0.051232460886240005
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.5,0.7362002977980128,0.8972376771755004,0.2470436219455873,0.8708842469484382,0.9651333333333332,0.948,0.6545454545454545,0.05461447313427925
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.5,0.8627675743779171,0.9077809122927584,0.26253807246263444,0.8569318023578496,0.7280666666666666,0.6016,0.4303030303030303,0.048876360058784485
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.5,0.8222486384331242,0.9108998196031268,0.23292560488370903,0.8573438159651247,0.7852666666666666,0.6032,0.2909090909090909,0.05109747126698494
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.1,0.7363555765541334,0.9009285112962804,0.2739148084982447,0.8664455429481696,0.9719333333333334,0.9572,0.509090909090909,0.05462520197033882
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.1,0.8579943991066059,0.9134193683245998,0.2864229258651862,0.854724989243366,0.7415333333333333,0.5832,0.6787878787878787,0.049074072390794754
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.1,0.8154454084700627,0.9040243736219683,0.14081286193510759,0.8496254100411089,0.7838,0.6654,0.5393939393939394,0.05154482647776604
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.0,0.7418059502333705,0.8998562838244137,0.24979035488577975,0.8524285064128003,0.9773333333333334,0.9554,0.4787878787878788,0.054562658071517944
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.0,0.8543582624631332,0.9170069352575666,0.30715286554071786,0.852723582150358,0.7265333333333333,0.5658,0.35757575757575755,0.049548886716365814
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1.kl_mu_weight:0.0,0.8280134524525384,0.9211518254445494,0.24284799178516153,0.8595433645227945,0.7968,0.7308,0.38181818181818183,0.050301969051361084
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:1.0,0.5010087220456433,0.498413223377144,-0.023320613671588764,0.7580133940536016,0.39646666666666663,0.1052,0.33333333333333337,0.06737832725048065
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:1.0,0.49869424161727227,0.5005591043152078,-0.006260537314626215,0.7561070173145692,0.3988,0.1088,0.2787878787878788,0.0674014613032341
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:1.0,0.5004268991781919,0.5043593333906022,-0.011741679014611504,0.7612606357504441,0.40026666666666666,0.104,0.2060606060606061,0.0675220713019371
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.5,0.502405434813733,0.5021574206110586,-0.014685816810001896,0.7567625683090801,0.3998666666666667,0.1098,0.13333333333333341,0.0673767700791359
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.5,0.5007552100335022,0.5008792715402457,-0.0008244262227659553,0.7522951622242826,0.4039333333333333,0.1088,0.30303030303030304,0.06738769263029099
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.5,0.5026329696761447,0.5013166795521575,-0.02149885799407885,0.7611579591630167,0.4014666666666667,0.1086,0.11515151515151517,0.06734053790569305
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.1,0.6052528591472668,0.7131465738911319,0.10468619397241444,0.75112889656354,0.5466666666666666,0.4102,0.1454545454545455,0.06142996996641159
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.1,0.6295906422701372,0.734629167024597,0.1882218330308894,0.7322628527411208,0.5146666666666666,0.3588,0.7333333333333333,0.059475045651197433
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.1,0.571650133150073,0.6455830426939266,0.12446886275753585,0.7410936278223584,0.4936,0.3074,0.6909090909090909,0.06264527142047882
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.0,0.599019070526587,0.6730518454886465,0.1367875418843833,0.7348056016680279,0.5536,0.3928,0.6121212121212121,0.06113184615969658
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.0,0.6016770151476105,0.6662399450219053,0.15477726808790992,0.7365976486480244,0.4930666666666666,0.3222,0.7090909090909091,0.061037492007017136
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.5.kl_mu_weight:0.0,0.6127427426051599,0.6985401540532028,0.16243724377919166,0.7460135286974967,0.5383333333333333,0.3626,0.6060606060606061,0.060600604861974716
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:1.0,0.8762244137101624,0.9451510465882084,0.5471786662489441,0.946283551493735,0.8833333333333332,0.8374,0.3212121212121212,0.045154836028814316
fashionmnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:1.0,0.9536284740715288,0.9763865876356556,0.7612299881391098,0.9272440579389155,0.7356,0.6344,0.812121212121212,0.03578585013747215
fashionmnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:1.0,0.9469570140022335,0.9767892277295765,0.7394752633211631,0.9298491083016871,0.7516666666666666,0.6674,0.8848484848484848,0.035270847380161285
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.5,0.8519768404776222,0.9423224980671764,0.44827071557786025,0.9438161646151554,0.8654,0.8256,0.3393939393939394,0.04665086418390274
fashionmnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.5,0.9525976004352432,0.9739503650889099,0.6744439941348883,0.9329655328457005,0.7432,0.6192,0.9212121212121211,0.036280810832977295
fashionmnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.5,0.9472378947971251,0.9754917962374366,0.6906348891901088,0.9361247495057539,0.7452,0.6408,0.9090909090909092,0.035676952451467514
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.1,0.8322438851186897,0.9338960054978095,0.4068104927480892,0.9455832326916881,0.8609333333333332,0.7894,0.21212121212121215,0.05079326033592224
fashionmnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.1,0.9379409558170833,0.9734937548320591,0.6803573546354337,0.919910464917013,0.7224666666666666,0.6246,0.7878787878787878,0.03679860383272171
fashionmnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.1,0.9400586719354007,0.9718119291011654,0.6295393122236739,0.923409612193701,0.7361333333333333,0.6462,0.6,0.03691304475069046
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01.kl_mu_weight:0.0,0.8554989319359734,0.9377704721816568,0.4328482549930165,0.9473142757599081,0.9166,0.8814,0.509090909090909,0.04742354154586792
