,dataset,algorithm,time
0,har,sharp,10.544386807999217
1,har,ssnp,12.694508936999227
2,har,tsne,10.626483468000515
3,har,umap,19.61651899899971
4,har,isomap,8.900640243999987
5,har,aep,7.473248237000007
6,fashionmnist,sharp,10.396391311000116
7,fashionmnist,ssnp,12.881378280000717
8,fashionmnist,tsne,8.53730365299998
9,fashionmnist,umap,4.6127288110001246
10,fashionmnist,isomap,9.818575919000068
11,fashionmnist,aep,7.883228401999986
12,usps,sharp,9.282462819999637
13,usps,ssnp,12.382571912000458
14,usps,tsne,8.119828598999447
15,usps,umap,4.179124995000166
16,usps,isomap,9.922768627999176
17,usps,aep,7.198754569000812
18,reuters,sharp,9.83559290500034
19,reuters,ssnp,13.47456287499972
20,reuters,tsne,38.93492830899959
21,reuters,umap,6.139038649000213
22,reuters,isomap,32.287810185000126
23,reuters,aep,9.171767026999987
24,mnist,sharp,9.74238326699924
25,mnist,ssnp,15.803660487000343
26,mnist,tsne,11.680017306000082
27,mnist,umap,4.231965367000157
28,mnist,isomap,10.23274865500025
29,mnist,aep,6.945414105000054
