dataset,algorithm,time
har,sharp,46.195828649999385
har,ssnp,30.57009020300029
har,tsne,-1.0
har,umap,201.69942718099992
har,isomap,-1.0
har,aep,140.31175805100065
fashionmnist,sharp,43.70322062500054
fashionmnist,ssnp,33.81140472399966
fashionmnist,tsne,-1.0
fashionmnist,umap,133.95081153700085
fashionmnist,isomap,-1.0
fashionmnist,aep,93.9765852090004
usps,sharp,42.18048565400022
usps,ssnp,31.491239009999845
usps,tsne,-1.0
usps,umap,184.12102911500006
usps,isomap,-1.0
usps,aep,120.45279527300045
reuters,sharp,50.71446361800008
reuters,ssnp,40.592965094001556
reuters,tsne,-1.0
reuters,umap,225.88854727000034
reuters,isomap,-1.0
reuters,aep,130.42865145199903
mnist,sharp,42.069632868000554
mnist,ssnp,32.517316400999334
mnist,tsne,-1.0
mnist,umap,132.22381179400145
mnist,isomap,-1.0
mnist,aep,97.27903202599919
