dataset,algorithm,time
har,sharp,31.719973528999617
har,ssnp,23.711537951999162
har,tsne,-1.0
har,umap,165.57928918499965
har,isomap,-1.0
har,aep,91.72949368800073
fashionmnist,sharp,34.30958287000067
fashionmnist,ssnp,24.190707728000234
fashionmnist,tsne,-1.0
fashionmnist,umap,125.08277265299876
fashionmnist,isomap,161.28494007000063
fashionmnist,aep,98.90643787600129
usps,sharp,34.090647369999715
usps,ssnp,23.819913334000375
usps,tsne,-1.0
usps,umap,166.67723633199967
usps,isomap,-1.0
usps,aep,92.75628568999855
reuters,sharp,42.46780016900084
reuters,ssnp,35.32954920699922
reuters,tsne,-1.0
reuters,umap,197.85661302800145
reuters,isomap,-1.0
reuters,aep,106.48566478299836
mnist,sharp,36.34951779199946
mnist,ssnp,25.412120599001355
mnist,tsne,-1.0
mnist,umap,127.40735029899952
mnist,isomap,158.08859708199998
mnist,aep,94.65290796100089
