dataset,algorithm,time
har,sharp,2.7308544350016746
har,ssnp,5.312602301000879
har,tsne,1.607667524000135
har,umap,4.654102683998644
har,isomap,0.5504314649988373
har,aep,3.995198355001776
fashionmnist,sharp,2.6515777460008394
fashionmnist,ssnp,4.9072158399976615
fashionmnist,tsne,1.5043037440009357
fashionmnist,umap,4.538714690999768
fashionmnist,isomap,0.4081711600010749
fashionmnist,aep,3.891240443001152
usps,sharp,2.5761441229988122
usps,ssnp,5.226087473001826
usps,tsne,1.5014288899983512
usps,umap,4.201781554002082
usps,isomap,0.634392702999321
usps,aep,3.477786086001288
reuters,sharp,2.6284531780002
reuters,ssnp,5.172428059002414
reuters,tsne,2.528228481998667
reuters,umap,5.421469187000184
reuters,isomap,0.6230982580018463
reuters,aep,4.0708372549997875
mnist,sharp,2.5221871549983916
mnist,ssnp,5.041470221000054
mnist,tsne,1.5785882990021491
mnist,umap,4.377939540001535
mnist,isomap,0.3475848469970515
mnist,aep,3.5154773270005535
