dataset_name,variational_layer,prior_scale,T_train,C_train,R_train,S_train,N_train,MSE_train
mnist,centered_diagonal_normal,1.0,0.755510729318787,0.9195663889127509,0.3006926466524233,0.27284835267353275,0.9665333333333332,-99.0
mnist,centered_diagonal_normal,0.05,0.7683238152506944,0.9274798843169259,0.31793261779446713,0.7057431943551511,0.9416,-99.0
mnist,centered_diagonal_normal,0.01,0.7483675686510323,0.9100941557139994,0.3783966573489132,0.8319967526689169,0.7727333333333333,-99.0
mnist,diagonal_normal,1.0,0.761225456003207,0.9137577184090714,0.2767594366743737,0.9258684602498792,0.9834,-99.0
mnist,diagonal_normal,0.05,0.7499407496492283,0.9111987343584458,0.2410992537127502,0.9252633772753699,0.9872666666666666,-99.0
mnist,diagonal_normal,0.01,0.7515594593820691,0.9134205709704206,0.21873374030598383,0.9239016865786024,0.991,-99.0
mnist,laplace,1.0,0.7465981330355353,0.913066282965381,0.2482895348816004,0.8293002267912701,0.9770666666666667,-99.0
mnist,laplace,0.05,0.7525665435386422,0.9167850814649372,0.21071299041972807,0.869474259375939,0.9818,-99.0
mnist,laplace,0.01,0.765787927726713,0.9231896686997108,0.30597722692557516,0.9046443666274085,0.9992666666666666,-99.0
mnist,gumbel,1.0,0.7456412793860779,0.9011960656301005,0.2723207594917207,0.8959217702945453,0.9806,-99.0
mnist,gumbel,0.05,0.5858311771611832,0.5024555965982305,,,,-99.0
mnist,gumbel,0.01,0.5858311771611832,0.5024555965982305,,,,-99.0
fashionmnist,centered_diagonal_normal,1.0,0.8344774217564356,0.934809019843656,0.5149803443320934,0.15137435845202585,0.8416,-99.0
fashionmnist,centered_diagonal_normal,0.05,0.8664272828794777,0.9566506256621711,0.5516762279416684,0.7160101870633907,0.8125333333333333,-99.0
fashionmnist,centered_diagonal_normal,0.01,0.9127360593305271,0.9691587263408069,0.7405310731139015,0.7325710217123103,0.7465333333333333,-99.0
fashionmnist,diagonal_normal,1.0,0.8550692437648542,0.9416236520344758,0.5989848380729648,0.9109655543969094,0.8610666666666668,-99.0
fashionmnist,diagonal_normal,0.05,0.8662262692208573,0.9426730922314807,0.5739463514110925,0.9040436483102295,0.832,-99.0
fashionmnist,diagonal_normal,0.01,0.873187767373937,0.9519448558256737,0.550804012926825,0.8831836611159867,0.7746,-99.0
fashionmnist,laplace,1.0,0.8216575551928529,0.9192547833805801,0.3940879690954057,0.8349733299033394,0.9041333333333333,-99.0
fashionmnist,laplace,0.05,0.8211873092231481,0.9142786244022564,0.3629528898525507,0.8752545582861183,0.9058666666666666,-99.0
fashionmnist,laplace,0.01,0.8242411763021504,0.932114148269049,0.47894152376128885,0.906772669171059,0.9232666666666668,-99.0
fashionmnist,gumbel,1.0,0.8129197548893279,0.9024260286916932,0.43063330051859156,0.9165909234652958,0.8710666666666668,-99.0
fashionmnist,gumbel,0.05,0.4844914297168056,0.501738785327721,,,,-99.0
fashionmnist,gumbel,0.01,0.4844914297168056,0.501738785327721,,,,-99.0
har,centered_diagonal_normal,1.0,0.8273405091200642,0.9018776164705209,0.7519554123326131,2.264750295353307,0.9270666666666666,-99.0
har,centered_diagonal_normal,0.05,0.8707979440483349,0.9304233313289236,0.8297461026110188,0.49355613403613313,0.9092,-99.0
har,centered_diagonal_normal,0.01,0.8688362683618246,0.9355099848237551,0.815424337041989,0.5828186835478182,0.8896666666666668,-99.0
har,diagonal_normal,1.0,0.8471966726798957,0.9193997193826418,0.524936022753695,0.8651174461295507,0.9794666666666668,-99.0
har,diagonal_normal,0.05,0.8366292701085245,0.9077195716290124,0.5824086138180209,0.8757802155374056,0.9816666666666666,-99.0
har,diagonal_normal,0.01,0.8312388569137817,0.9041351716633736,0.5724840384347927,0.8761453525611972,0.9845333333333334,-99.0
har,laplace,1.0,0.8303904704635914,0.90460082467142,0.6561844449630893,0.6880566276135459,0.9685333333333332,-99.0
har,laplace,0.05,0.8490555049680726,0.9267275262720843,0.637021413125142,0.761933181767255,0.9813333333333334,-99.0
har,laplace,0.01,0.8502784583225954,0.9335688629270109,0.5415560137977997,0.8558190781672005,0.9883333333333332,-99.0
har,gumbel,1.0,0.8246789107464995,0.802925561950577,0.5876263088344642,0.8169772454792394,0.9707333333333334,-99.0
har,gumbel,0.05,0.4552481287403717,0.5016251582051943,,,,-99.0
har,gumbel,0.01,0.4552481287403717,0.5016251582051943,,,,-99.0
reuters,centered_diagonal_normal,1.0,0.551400538327177,0.7083791025971422,0.13915242179006704,4.750378469999707,0.9188,-99.0
reuters,centered_diagonal_normal,0.05,0.5763387796008361,0.776462371503021,0.4352992833141458,0.6130612227463138,0.9758666666666667,-99.0
reuters,centered_diagonal_normal,0.01,0.5671652607164333,0.7088756406952439,0.3514093951994736,0.8356592098047021,0.9037333333333332,-99.0
reuters,diagonal_normal,1.0,0.5575296337657132,0.7194793459897488,0.37543088212565423,0.8393143022989747,0.9812666666666666,-99.0
reuters,diagonal_normal,0.05,0.5590987944907367,0.7209072015577127,0.3761960024371335,0.8401039455686817,0.9827333333333332,-99.0
reuters,diagonal_normal,0.01,0.5563160782292472,0.7102252154740429,0.35178217211305834,0.8359139757291904,0.9816,-99.0
reuters,laplace,1.0,0.5553405377544884,0.700938745239527,0.2998677648745366,0.5902070244904479,0.9700666666666666,-99.0
reuters,laplace,0.05,0.5627960770838702,0.7343368840019471,0.4534934492347863,0.708282969607715,0.9812666666666666,-99.0
reuters,laplace,0.01,0.5707033015491223,0.7575133006900896,0.4320563971496432,0.8066212075320564,0.9832,-99.0
reuters,gumbel,1.0,0.5572276322194543,0.6836431062623486,0.2871583710280085,0.7633854643900225,0.9738,-99.0
reuters,gumbel,0.05,0.5564266586490278,0.7159566188471781,0.3020391670987514,0.9413514655857881,0.9708666666666668,-99.0
reuters,gumbel,0.01,0.5522702058815108,0.7035465910717865,0.37202854737750723,0.9833860507196782,0.9394666666666666,-99.0
