dataset_name,test_name,exp,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.763,0.903,0.257,0.910,0.944,0.883,0.690,0.053
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.775,0.825,0.333,0.799,0.648,0.446,0.775,0.058
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.794,0.917,0.309,0.906,0.718,0.616,0.503,0.051
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.735,0.899,0.224,0.859,0.986,0.964,0.333,0.054
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.857,0.907,0.354,0.846,0.734,0.579,0.296,0.049
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.824,0.909,0.246,0.854,0.789,0.626,0.539,0.050
mnist,ShaRP-GT,layer:generalized_normal.power:5,0.735,0.896,0.121,0.874,0.982,0.967,0.103,0.054
mnist,ShaRP-KMeans,layer:generalized_normal.power:5,0.855,0.908,0.304,0.869,0.729,0.551,0.521,0.050
mnist,ShaRP-AG,layer:generalized_normal.power:5,0.819,0.911,0.206,0.872,0.782,0.658,0.430,0.052
mnist,ShaRP-GT,layer:generalized_normal.power:15,0.744,0.907,0.259,0.867,0.937,0.913,0.472,0.053
mnist,ShaRP-KMeans,layer:generalized_normal.power:15,0.859,0.906,0.294,0.871,0.728,0.517,0.290,0.049
mnist,ShaRP-AG,layer:generalized_normal.power:15,0.809,0.914,0.323,0.870,0.780,0.709,0.393,0.051
mnist,ShaRP-GT,layer:triangle.use_bias:True,0.740,0.877,0.170,0.753,0.984,0.920,0.309,0.054
mnist,ShaRP-KMeans,layer:triangle.use_bias:True,0.849,0.872,0.083,0.770,0.726,0.395,0.145,0.051
mnist,ShaRP-AG,layer:triangle.use_bias:True,0.814,0.892,0.045,0.766,0.783,0.681,0.157,0.051
mnist,ShaRP-GT,layer:triangle.use_bias:False,0.722,0.810,0.062,0.692,0.935,0.780,0.266,0.055
mnist,ShaRP-KMeans,layer:triangle.use_bias:False,0.809,0.806,0.026,0.589,0.696,0.492,0.381,0.051
mnist,ShaRP-AG,layer:triangle.use_bias:False,0.791,0.817,-0.021,0.575,0.751,0.598,0.278,0.052
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.881,0.948,0.543,0.943,0.871,0.838,0.727,0.042
fashionmnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.955,0.980,0.749,0.915,0.739,0.650,0.933,0.032
fashionmnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.941,0.974,0.750,0.933,0.727,0.615,0.921,0.039
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.825,0.920,0.480,0.883,0.853,0.815,0.575,0.050
fashionmnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.935,0.961,0.742,0.868,0.705,0.625,0.806,0.035
fashionmnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.933,0.965,0.702,0.860,0.731,0.66,0.715,0.036
fashionmnist,ShaRP-GT,layer:generalized_normal.power:5,0.824,0.898,0.531,0.894,0.828,0.778,0.521,0.049
fashionmnist,ShaRP-KMeans,layer:generalized_normal.power:5,0.939,0.964,0.723,0.874,0.718,0.618,0.921,0.036
fashionmnist,ShaRP-AG,layer:generalized_normal.power:5,0.933,0.968,0.732,0.873,0.722,0.636,0.896,0.037
fashionmnist,ShaRP-GT,layer:generalized_normal.power:15,0.848,0.915,0.570,0.884,0.805,0.744,0.763,0.045
fashionmnist,ShaRP-KMeans,layer:generalized_normal.power:15,0.926,0.960,0.733,0.871,0.691,0.612,0.915,0.036
fashionmnist,ShaRP-AG,layer:generalized_normal.power:15,0.923,0.961,0.699,0.878,0.720,0.627,0.684,0.037
fashionmnist,ShaRP-GT,layer:triangle.use_bias:True,0.809,0.884,0.356,0.797,0.849,0.780,0.412,0.051
fashionmnist,ShaRP-KMeans,layer:triangle.use_bias:True,0.926,0.939,0.458,0.782,0.712,0.571,0.315,0.037
fashionmnist,ShaRP-AG,layer:triangle.use_bias:True,0.921,0.947,0.641,0.802,0.714,0.611,0.478,0.038
fashionmnist,ShaRP-GT,layer:triangle.use_bias:False,0.810,0.822,0.405,0.727,0.817,0.688,0.533,0.052
fashionmnist,ShaRP-KMeans,layer:triangle.use_bias:False,0.888,0.864,0.314,0.652,0.661,0.525,0.175,0.042
fashionmnist,ShaRP-AG,layer:triangle.use_bias:False,0.864,0.858,0.282,0.665,0.687,0.513,0.157,0.045
har,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.868,0.926,0.556,0.913,0.990,0.981,0.485,0.008
har,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.918,0.956,0.698,0.877,0.796,0.618,0.714,0.007
har,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.918,0.960,0.731,0.880,0.841,0.772,0.571,0.007
har,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.823,0.771,0.560,0.726,0.918,0.883,0.714,0.010
har,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.904,0.916,0.704,0.721,0.757,0.651,0.542,0.007
har,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.885,0.912,0.593,0.731,0.800,0.710,0.371,0.008
har,ShaRP-GT,layer:generalized_normal.power:5,0.826,0.888,0.559,0.776,0.978,0.958,0.285,0.009
har,ShaRP-KMeans,layer:generalized_normal.power:5,0.894,0.907,0.664,0.772,0.781,0.687,0.457,0.008
har,ShaRP-AG,layer:generalized_normal.power:5,0.883,0.916,0.492,0.777,0.803,0.734,0.114,0.008
har,ShaRP-GT,layer:generalized_normal.power:15,0.827,0.859,0.602,0.777,0.963,0.917,0.742,0.009
har,ShaRP-KMeans,layer:generalized_normal.power:15,0.846,0.805,0.669,0.786,0.655,0.555,0.114,0.008
har,ShaRP-AG,layer:generalized_normal.power:15,0.892,0.930,0.716,0.738,0.811,0.744,0.571,0.007
har,ShaRP-GT,layer:triangle.use_bias:True,0.827,0.856,0.565,0.594,0.970,0.937,0.114,0.009
har,ShaRP-KMeans,layer:triangle.use_bias:True,0.892,0.892,0.632,0.561,0.752,0.673,0.6,0.007
har,ShaRP-AG,layer:triangle.use_bias:True,0.883,0.894,0.447,0.579,0.795,0.699,0.485,0.009
har,ShaRP-GT,layer:triangle.use_bias:False,0.826,0.830,0.444,0.579,0.966,0.929,0.285,0.009
har,ShaRP-KMeans,layer:triangle.use_bias:False,0.884,0.845,0.408,0.509,0.750,0.613,0.428,0.008
har,ShaRP-AG,layer:triangle.use_bias:False,0.874,0.836,0.481,0.493,0.771,0.669,0.514,0.008
reuters,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.566,0.705,0.392,0.876,0.982,0.975,0.742,0.001
reuters,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.590,0.777,0.070,0.894,0.703,0.566,0.314,0.001
reuters,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.590,0.745,0.120,0.888,0.745,0.649,0.285,0.001
