dataset_name,test_name,exp,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.7532447441514188,0.9108323454456948,0.2677122649430971,0.9005128278266932,0.9011333333333332,0.8832,0.5333333333333333,0.05494438111782074
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.8773310597600436,0.9128870257423475,0.2798147642796805,0.9210633285170676,0.755,0.4694,0.5151515151515151,0.0483282208442688
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.8395405835695673,0.9254457005411906,0.2919750642817514,0.9099717169675049,0.8015333333333333,0.676,0.1636363636363637,0.05093352496623993
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.7339917876471094,0.8969179222861724,0.22788726307738721,0.8670215614672238,0.9742666666666666,0.9544,0.4787878787878788,0.05481672286987305
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.8584396529507774,0.8907666466225697,0.11383972433149768,0.8534993173722336,0.7268666666666667,0.5738,0.33333333333333337,0.05089767649769783
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.8234007502219167,0.9150294018268763,0.1824279042876785,0.859691314130014,0.7909333333333333,0.7026,0.18787878787878792,0.05063910782337189
mnist,ShaRP-GT,layer:generalized_normal.power:5,0.7355128998081494,0.8968611631303153,0.23755358827892115,0.8722807384908372,0.9798,0.9562,0.3212121212121212,0.05477204918861389
mnist,ShaRP-KMeans,layer:generalized_normal.power:5,0.8557130086189617,0.8970617358188013,0.18493022277584512,0.8787209094264534,0.7292,0.489,0.27272727272727276,0.05127139762043953
mnist,ShaRP-AG,layer:generalized_normal.power:5,0.8223543338201186,0.9136381983220228,0.26526839410792163,0.8689473350418592,0.786,0.6862,0.5151515151515151,0.05202508717775345
mnist,ShaRP-GT,layer:generalized_normal.power:15,0.7396891962317098,0.9079009535263294,0.29203522807968163,0.8594126305987302,0.9513333333333333,0.9292,0.6060606060606061,0.054674018174409866
mnist,ShaRP-KMeans,layer:generalized_normal.power:15,0.8407157002548464,0.902783810096498,0.21086383180267393,0.8710552919454928,0.7188,0.426,0.32727272727272727,0.051921382546424866
mnist,ShaRP-AG,layer:generalized_normal.power:15,0.8260131947427197,0.9219591043152078,0.29964796753245826,0.8634133448555299,0.7873333333333333,0.7374,0.5272727272727272,0.05120101943612099
mnist,ShaRP-GT,layer:triangle.use_bias:True,0.7499437505368954,0.8747983964722389,0.13650258837621956,0.8470171728448089,0.9890666666666666,0.8878,0.2606060606060606,0.05451204255223274
mnist,ShaRP-KMeans,layer:triangle.use_bias:True,0.8748508948257595,0.889778335194571,0.0734800394983209,0.8772218058142318,0.7565333333333333,0.6032,0.07878787878787885,0.0485856756567955
mnist,ShaRP-AG,layer:triangle.use_bias:True,0.8418568393322452,0.908004902213441,0.135577981360154,0.8949339074079184,0.8087333333333332,0.6654,0.03030303030303033,0.05027361586689949
mnist,ShaRP-GT,layer:triangle.use_bias:False,0.7367353491968044,0.8040546115740344,0.07087916281740668,0.8304729951555136,0.9670666666666666,0.7956,0.36363636363636365,0.055465709418058395
mnist,ShaRP-KMeans,layer:triangle.use_bias:False,0.8468876327921427,0.8053191707470722,0.06285272012090369,0.8444813991016492,0.7358,0.481,0.35151515151515156,0.051506057381629944
mnist,ShaRP-AG,layer:triangle.use_bias:False,0.7850932165048822,0.8088972654124789,0.1281371301441787,0.8541927040194799,0.7512666666666666,0.6102,0.17575757575757583,0.05420291796326637
