dataset_name,test_name,exp,T_train,C_train,R_train,S_train,N_train,DSC_train,CC_train,MSE_train
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.7616273344214415,0.917812072273287,0.3170921511924262,0.9146921138199512,0.9794666666666668,0.9618,0.5393939393939394,0.05313631892204285
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.8740679895770695,0.9263360020616785,0.3509857004565154,0.912502385681975,0.7388,0.5974,0.3757575757575758,0.04843783378601074
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.8407232082008991,0.9197664919966784,0.3568700534108314,0.9164493062094863,0.8018666666666667,0.5954,0.4545454545454546,0.05156124755740166
mnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.7321012455974573,0.8972613234830914,0.2514666983469253,0.8589510828600034,0.9765333333333333,0.9624,0.6303030303030304,0.054823651909828186
mnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.853646382040489,0.8974848266185609,0.17499830350994083,0.8635493378323807,0.7395999999999999,0.5112,0.5272727272727272,0.050332020968198776
mnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.8221974687168915,0.9000052973684964,0.13989199278582928,0.8539934860719604,0.7886666666666666,0.5864,0.4121212121212121,0.051607437431812286
mnist,ShaRP-GT,layer:generalized_normal.power:5,0.7350720728459754,0.8964340864186926,0.27095531108515775,0.8779621417070991,0.9794666666666668,0.9612,0.34545454545454546,0.05516822636127472
mnist,ShaRP-KMeans,layer:generalized_normal.power:5,0.8534749076539816,0.9113932079145549,0.30776014359429305,0.8681243976460171,0.7190666666666667,0.5848,0.4787878787878788,0.05031087249517441
mnist,ShaRP-AG,layer:generalized_normal.power:5,0.8119329954471266,0.9110300604186353,0.20802113110688383,0.8771674105664345,0.7788666666666667,0.7054,0.38181818181818183,0.05279345437884331
mnist,ShaRP-GT,layer:generalized_normal.power:15,0.7345547003407497,0.8997855167081866,0.23025842011035588,0.864290553737035,0.968,0.9482,0.6363636363636364,0.05510535463690758
mnist,ShaRP-KMeans,layer:generalized_normal.power:15,0.8473900352203418,0.909835718580878,0.33605939284373626,0.8674988996541857,0.732,0.5592,0.5878787878787879,0.04935147240757942
mnist,ShaRP-AG,layer:generalized_normal.power:15,0.818134501617845,0.918597239641497,0.27546919859847435,0.8665586751846437,0.7828,0.7076,0.22424242424242424,0.05168565735220909
mnist,ShaRP-GT,layer:triangle.use_bias:True,0.7471808378432552,0.8736686939839075,0.11895867208167099,0.8502256322968654,0.9858666666666666,0.8958,0.34545454545454546,0.05448410287499428
mnist,ShaRP-KMeans,layer:triangle.use_bias:True,0.8708747358474358,0.8850631446324772,0.04433045459601019,0.8753920145583647,0.7517333333333333,0.5382,0.12727272727272732,0.049272309988737106
mnist,ShaRP-AG,layer:triangle.use_bias:True,0.8384252383815823,0.8968328207771383,0.17019505834902715,0.8854961561512144,0.8005333333333333,0.6524,0.17575757575757583,0.051848527044057846
mnist,ShaRP-GT,layer:triangle.use_bias:False,0.737685147324113,0.7988643243707585,0.1483353770691631,0.8435555117007195,0.9585333333333332,0.769,0.48484848484848486,0.05591972544789314
mnist,ShaRP-KMeans,layer:triangle.use_bias:False,0.8295651003636572,0.7994487701514761,-0.0018860560329999776,0.8610628398848623,0.7111333333333333,0.446,0.4303030303030303,0.05196436494588852
mnist,ShaRP-AG,layer:triangle.use_bias:False,0.7656630014603556,0.8107566016665235,0.14511120310696105,0.8509623286576611,0.7263333333333334,0.539,0.4787878787878788,0.055592555552721024
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.8223035936202503,0.9102107550897689,0.3721748347051767,0.9489548728860667,0.8905333333333334,0.8534,0.696969696969697,0.05095718055963516
fashionmnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.8254414970077026,0.9323843369699052,0.49180709611663986,0.9627160860764165,0.6298,0.4484,0.9090909090909092,0.057465534657239914
fashionmnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.9425796065630101,0.9771382699080835,0.7276787949542886,0.9122164469076159,0.7413333333333333,0.6496,0.8424242424242424,0.035750649869441986
fashionmnist,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.8349451765312259,0.9071991867823498,0.46298131714131524,0.8795722483018463,0.8291333333333332,0.7658,0.4727272727272727,0.048051491379737854
fashionmnist,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.9257317870744208,0.9555320390573547,0.6409852845540656,0.8665195500937369,0.7084,0.5806,0.9090909090909092,0.03889289125800133
fashionmnist,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.9254180625948515,0.9606977407439223,0.7286043240195229,0.864009569923586,0.7236,0.631,0.8363636363636363,0.03707238659262657
fashionmnist,ShaRP-GT,layer:generalized_normal.power:5,0.8247070354780517,0.9149721730664605,0.48524160926051413,0.8915170444885097,0.8418,0.8158,0.793939393939394,0.049543969333171844
fashionmnist,ShaRP-KMeans,layer:generalized_normal.power:5,0.9371968845746357,0.9655191478395326,0.7353187109408078,0.8753038662106302,0.7097333333333334,0.6112,0.7515151515151515,0.036630403250455856
fashionmnist,ShaRP-AG,layer:generalized_normal.power:5,0.9261474501045156,0.9585089081694013,0.6984518700582317,0.8806943630894103,0.7217333333333334,0.6292,0.8242424242424242,0.03833029046654701
fashionmnist,ShaRP-GT,layer:generalized_normal.power:15,0.8289409615439681,0.9155560576124617,0.49499028208964113,0.890679251704331,0.8133333333333334,0.771,0.703030303030303,0.049059417098760605
fashionmnist,ShaRP-KMeans,layer:generalized_normal.power:15,0.908412398705724,0.9537541391060332,0.6407995118810249,0.8762387489494039,0.6892666666666666,0.5856,0.9090909090909092,0.03993353247642517
fashionmnist,ShaRP-AG,layer:generalized_normal.power:15,0.8539955101222689,0.8611758783609655,0.4810031736278892,0.897644526777539,0.6642666666666666,0.521,0.6606060606060606,0.04780841991305351
fashionmnist,ShaRP-GT,layer:triangle.use_bias:True,0.8259517051799674,0.8980318586604816,0.4824725743312035,0.8747179993180929,0.895,0.781,0.6181818181818182,0.050457973033189774
fashionmnist,ShaRP-KMeans,layer:triangle.use_bias:True,0.9519063711594078,0.9658820605331729,0.5315062729364033,0.9114895376905423,0.7362,0.5642,0.35757575757575755,0.03629200905561447
fashionmnist,ShaRP-AG,layer:triangle.use_bias:True,0.9367782607450678,0.9601810325573404,0.5820199872246937,0.9042402352773211,0.7291333333333332,0.6182,0.2848484848484849,0.03733937442302704
fashionmnist,ShaRP-GT,layer:triangle.use_bias:False,0.8065714629327377,0.807607170059846,0.20761389963970567,0.8655221603214306,0.8342,0.6406,0.6242424242424243,0.05303534120321274
fashionmnist,ShaRP-KMeans,layer:triangle.use_bias:False,0.8998296423560405,0.8586833147209576,0.30163753389125253,0.8735622538651179,0.6744666666666667,0.4992,0.036363636363636376,0.042522504925727844
fashionmnist,ShaRP-AG,layer:triangle.use_bias:False,0.8829722933310425,0.8423321249606277,0.3533711493939493,0.8988228377161672,0.6722,0.5002,0.3878787878787879,0.04483973979949951
har,ShaRP-GT,layer:diagonal_normal.kl_weight:0.01,0.8526512670732755,0.9299582510093635,0.6755838479120397,0.8811177116628603,0.9793333333333334,0.9758,0.9714285714285715,0.010261249728500843
har,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.01,0.9211114165449703,0.9559841880708988,0.691647457469154,0.8864252401580673,0.7880666666666666,0.703,0.6285714285714286,0.007452393416315317
har,ShaRP-AG,layer:diagonal_normal.kl_weight:0.01,0.9100825587721559,0.9567310311256192,0.6062137962868718,0.8924026542011871,0.8398666666666668,0.7842,0.5428571428571428,0.008026454597711563
har,ShaRP-GT,layer:diagonal_normal.kl_weight:0.1,0.8227098130172092,0.8095328980900839,0.5206597255903215,0.7490329300461022,0.9654,0.8288,0.22857142857142854,0.010066152550280094
har,ShaRP-KMeans,layer:diagonal_normal.kl_weight:0.1,0.9022810526014374,0.9326604988116713,0.6024815677845381,0.7437694051134612,0.7558,0.6254,0.6571428571428571,0.007995033636689186
har,ShaRP-AG,layer:diagonal_normal.kl_weight:0.1,0.8847258540217049,0.9176630129141253,0.5312518493341648,0.7479896325593973,0.7952666666666666,0.674,0.5428571428571428,0.008277172222733498
har,ShaRP-GT,layer:generalized_normal.power:5,0.8246344930275177,0.8798159264667984,0.5818343392125681,0.748994105640572,0.9516666666666667,0.9364,0.4857142857142857,0.009844634681940079
har,ShaRP-KMeans,layer:generalized_normal.power:5,0.8981875382985425,0.9286989892048221,0.53363056730405,0.766548202611825,0.777,0.6954,0.9142857142857144,0.008122808299958706
har,ShaRP-AG,layer:generalized_normal.power:5,0.8898606877988718,0.9218344414855539,0.6338125005853045,0.7680614950500855,0.8022,0.7366,0.5428571428571428,0.008542172610759735
